,simulation,time,R_c
50,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/1000,60276,0.016
51,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0000,66437,0.0157
52,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0050,65128,0.0467
53,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0100,65787,0.0252
54,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0200,14148,0.0322
55,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0300,23708,0.0391
56,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0400,16855,0.0348
57,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0500,26874,0.045
58,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0600,20000,0.0411
59,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0650,100000,0.0471
60,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0700,75000,0.045
61,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0750,403297,0.0287
62,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0800,409010,0.0492
63,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0850,403987,0.0156
64,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0900,100000,0.0372
65,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/0950,75000,0.0456
66,cgenff/refJMC11/refJMC11/FEP/octanol/VDW/1000,15000,0.0485
67,cgenff/refJMC11/refJMC11/FEP/water/Coulomb/0000,80000,0.02
68,cgenff/refJMC11/refJMC11/FEP/water/Coulomb/0250,75461,0.0078
69,cgenff/refJMC11/refJMC11/FEP/water/Coulomb/0500,74432,0.0001
70,cgenff/refJMC11/refJMC11/FEP/water/Coulomb/0750,120126,0.0006
71,cgenff/refJMC11/refJMC11/FEP/water/Coulomb/1000,129275,0.0008
72,cgenff/refJMC11/refJMC11/FEP/water/VDW/0000,143039,0.0001
73,cgenff/refJMC11/refJMC11/FEP/water/VDW/0050,143211,0.0001
74,cgenff/refJMC11/refJMC11/FEP/water/VDW/0100,42948,0.0002
75,cgenff/refJMC11/refJMC11/FEP/water/VDW/0200,43858,0.0004
76,cgenff/refJMC11/refJMC11/FEP/water/VDW/0300,44259,0.0004
77,cgenff/refJMC11/refJMC11/FEP/water/VDW/0400,45702,0.0006
78,cgenff/refJMC11/refJMC11/FEP/water/VDW/0500,42632,0.0153
79,cgenff/refJMC11/refJMC11/FEP/water/VDW/0600,41086,0.0233
80,cgenff/refJMC11/refJMC11/FEP/water/VDW/0650,65675,0.0209
81,cgenff/refJMC11/refJMC11/FEP/water/VDW/0700,165076,0.0471
82,cgenff/refJMC11/refJMC11/FEP/water/VDW/0750,41290,0.0179
83,cgenff/refJMC11/refJMC11/FEP/water/VDW/0800,39836,0.0271
84,cgenff/refJMC11/refJMC11/FEP/water/VDW/0850,38725,0.0133
85,cgenff/refJMC11/refJMC11/FEP/water/VDW/0900,38942,0.0015
86,cgenff/refJMC11/refJMC11/FEP/water/VDW/0950,40485,0.0014
87,cgenff/refJMC11/refJMC11/FEP/water/VDW/1000,40951,0.0008
88,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/0000,500000,0.0491
89,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/0125,1004309,0.0652
90,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/0250,700000,0.0386
91,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/0375,500000,0.0392
92,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/0500,100000,0.0448
93,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/0750,10000,0.0338
94,cgenff/refJMC12/refJMC12/FEP/octanol/Coulomb/1000,10000,0.0326
95,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0000,150000,0.05
96,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0050,125000,0.0414
97,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0100,25000,0.0171
98,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0200,15000,0.0482
99,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0300,15000,0.0489
100,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0400,15000,0.0408
101,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0500,75000,0.0426
102,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0600,100000,0.0395
103,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0650,75000,0.0351
104,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0700,75000,0.0159
105,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0750,150000,0.0231
106,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0800,400000,0.0419
107,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0850,125000,0.0498
108,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0900,75000,0.0296
109,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/0950,15000,0.0377
110,cgenff/refJMC12/refJMC12/FEP/octanol/VDW/1000,10000,0.0344
111,cgenff/refJMC12/refJMC12/FEP/water/Coulomb/0000,5000,0.0248
112,cgenff/refJMC12/refJMC12/FEP/water/Coulomb/0250,5000,0.024
113,cgenff/refJMC12/refJMC12/FEP/water/Coulomb/0500,10000,0.0253
114,cgenff/refJMC12/refJMC12/FEP/water/Coulomb/0750,5000,0.0024
115,cgenff/refJMC12/refJMC12/FEP/water/Coulomb/1000,5000,0.003
116,cgenff/refJMC12/refJMC12/FEP/water/VDW/0000,5000,0.0426
117,cgenff/refJMC12/refJMC12/FEP/water/VDW/0050,5000,0.0228
118,cgenff/refJMC12/refJMC12/FEP/water/VDW/0100,5000,0.0066
119,cgenff/refJMC12/refJMC12/FEP/water/VDW/0200,5000,0.0422
120,cgenff/refJMC12/refJMC12/FEP/water/VDW/0300,5000,0.0038
121,cgenff/refJMC12/refJMC12/FEP/water/VDW/0400,5000,0.0342
122,cgenff/refJMC12/refJMC12/FEP/water/VDW/0500,5000,0.0196
123,cgenff/refJMC12/refJMC12/FEP/water/VDW/0600,10000,0.0361
124,cgenff/refJMC12/refJMC12/FEP/water/VDW/0650,25000,0.047
125,cgenff/refJMC12/refJMC12/FEP/water/VDW/0700,50000,0.0201
126,cgenff/refJMC12/refJMC12/FEP/water/VDW/0750,75000,0.0466
127,cgenff/refJMC12/refJMC12/FEP/water/VDW/0800,20000,0.0209
128,cgenff/refJMC12/refJMC12/FEP/water/VDW/0850,20000,0.0461
129,cgenff/refJMC12/refJMC12/FEP/water/VDW/0900,10000,0.0166
130,cgenff/refJMC12/refJMC12/FEP/water/VDW/0950,5000,0.0316
131,cgenff/refJMC12/refJMC12/FEP/water/VDW/1000,5000,0.0152
132,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/0000,1000000,0.1518
133,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/0125,200000,0.048
134,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/0250,900000,0.0496
135,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/0375,175000,0.0305
136,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/0500,600000,0.044
137,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/0750,125000,0.0469
138,cgenff/refJMC13/refJMC13/FEP/octanol/Coulomb/1000,25000,0.0449
139,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0000,75000,0.0425
140,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0050,50000,0.031
141,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0100,175000,0.0365
142,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0200,20000,0.0438
143,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0300,50000,0.0342
144,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0400,20000,0.0359
145,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0500,75000,0.0433
146,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0600,50000,0.0182
147,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0650,75000,0.0477
148,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0700,200000,0.0226
149,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0750,125000,0.0397
150,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0800,388002,0.0312
151,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0850,638761,0.0207
152,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0900,700000,0.0466
153,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/0950,25000,0.0158
154,cgenff/refJMC13/refJMC13/FEP/octanol/VDW/1000,15000,0.0418
155,cgenff/refJMC13/refJMC13/FEP/water/Coulomb/0000,630525,0.05
156,cgenff/refJMC13/refJMC13/FEP/water/Coulomb/0250,200000,0.0433
157,cgenff/refJMC13/refJMC13/FEP/water/Coulomb/0500,125000,0.0394
158,cgenff/refJMC13/refJMC13/FEP/water/Coulomb/0750,5000,0.0082
159,cgenff/refJMC13/refJMC13/FEP/water/Coulomb/1000,5000,0.0396
160,cgenff/refJMC13/refJMC13/FEP/water/VDW/0000,10000,0.0028
161,cgenff/refJMC13/refJMC13/FEP/water/VDW/0050,5000,0.0088
162,cgenff/refJMC13/refJMC13/FEP/water/VDW/0100,10000,0.0069
163,cgenff/refJMC13/refJMC13/FEP/water/VDW/0200,5000,0.0158
164,cgenff/refJMC13/refJMC13/FEP/water/VDW/0300,5000,0.0172
165,cgenff/refJMC13/refJMC13/FEP/water/VDW/0400,5000,0.036
166,cgenff/refJMC13/refJMC13/FEP/water/VDW/0500,10000,0.0114
167,cgenff/refJMC13/refJMC13/FEP/water/VDW/0600,15000,0.0347
168,cgenff/refJMC13/refJMC13/FEP/water/VDW/0650,50000,0.0114
169,cgenff/refJMC13/refJMC13/FEP/water/VDW/0700,100000,0.0347
170,cgenff/refJMC13/refJMC13/FEP/water/VDW/0750,100000,0.0385
171,cgenff/refJMC13/refJMC13/FEP/water/VDW/0800,25000,0.0394
172,cgenff/refJMC13/refJMC13/FEP/water/VDW/0850,5000,0.0346
173,cgenff/refJMC13/refJMC13/FEP/water/VDW/0900,10000,0.018
174,cgenff/refJMC13/refJMC13/FEP/water/VDW/0950,5000,0.0112
175,cgenff/refJMC13/refJMC13/FEP/water/VDW/1000,5000,0.0124
176,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/0000,1022793,0.0788
177,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/0125,1164568,0.0484
178,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/0250,1055930,0.0608
179,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/0375,148120,0.0443
180,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/0500,225356,0.0258
181,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/0750,149318,0.0361
182,cgenff/refJMC14/refJMC14/FEP/octanol/Coulomb/1000,50000,0.0195
183,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0000,50000,0.0137
184,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0050,50000,0.0244
185,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0100,50000,0.0308
186,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0200,50000,0.0178
187,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0300,50000,0.0173
188,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0400,164891,0.0236
189,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0500,50000,0.039
190,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0600,161800,0.0183
191,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0650,162355,0.0199
192,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0700,331835,0.0494
193,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0750,243559,0.0432
194,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0800,417121,0.0473
195,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0850,558725,0.0391
196,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0900,202364,0.045
197,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/0950,50000,0.0108
198,cgenff/refJMC14/refJMC14/FEP/octanol/VDW/1000,50000,0.0262
199,cgenff/refJMC14/refJMC14/FEP/water/Coulomb/0000,50000,0.0056
200,cgenff/refJMC14/refJMC14/FEP/water/Coulomb/0250,50000,0.0001
201,cgenff/refJMC14/refJMC14/FEP/water/Coulomb/0500,10631,0.0026
202,cgenff/refJMC14/refJMC14/FEP/water/Coulomb/0750,50000,0.0003
203,cgenff/refJMC14/refJMC14/FEP/water/Coulomb/1000,50000,0.0001
204,cgenff/refJMC14/refJMC14/FEP/water/VDW/0000,50000,0.0004
205,cgenff/refJMC14/refJMC14/FEP/water/VDW/0050,50000,0.0006
206,cgenff/refJMC14/refJMC14/FEP/water/VDW/0100,50000,0.0002
207,cgenff/refJMC14/refJMC14/FEP/water/VDW/0200,10381,0.0162
208,cgenff/refJMC14/refJMC14/FEP/water/VDW/0300,50000,0.0014
209,cgenff/refJMC14/refJMC14/FEP/water/VDW/0400,50000,0.0021
210,cgenff/refJMC14/refJMC14/FEP/water/VDW/0500,50000,0.0057
211,cgenff/refJMC14/refJMC14/FEP/water/VDW/0600,50000,0.0176
212,cgenff/refJMC14/refJMC14/FEP/water/VDW/0650,50000,0.0401
213,cgenff/refJMC14/refJMC14/FEP/water/VDW/0700,187830,0.0205
214,cgenff/refJMC14/refJMC14/FEP/water/VDW/0750,185373,0.0302
215,cgenff/refJMC14/refJMC14/FEP/water/VDW/0800,177175,0.0207
216,cgenff/refJMC14/refJMC14/FEP/water/VDW/0850,50000,0.019
217,cgenff/refJMC14/refJMC14/FEP/water/VDW/0900,50000,0.0014
218,cgenff/refJMC14/refJMC14/FEP/water/VDW/0950,50000,0.0021
219,cgenff/refJMC14/refJMC14/FEP/water/VDW/1000,50000,0.0006
220,cgenff/SM25/SM25/FEP/octanol/Coulomb/0000,400000,0.0316
221,cgenff/SM25/SM25/FEP/octanol/Coulomb/0125,608118,0.0443
222,cgenff/SM25/SM25/FEP/octanol/Coulomb/0250,1000000,0.206
223,cgenff/SM25/SM25/FEP/octanol/Coulomb/0375,1000000,0.0719
224,cgenff/SM25/SM25/FEP/octanol/Coulomb/0500,486032,0.047
225,cgenff/SM25/SM25/FEP/octanol/Coulomb/0750,15000,0.0395
226,cgenff/SM25/SM25/FEP/octanol/Coulomb/1000,75000,0.0408
227,cgenff/SM25/SM25/FEP/octanol/VDW/0000,20000,0.0355
228,cgenff/SM25/SM25/FEP/octanol/VDW/0050,50000,0.0253
229,cgenff/SM25/SM25/FEP/octanol/VDW/0100,20000,0.0252
230,cgenff/SM25/SM25/FEP/octanol/VDW/0200,75000,0.0392
231,cgenff/SM25/SM25/FEP/octanol/VDW/0300,20000,0.0443
232,cgenff/SM25/SM25/FEP/octanol/VDW/0400,100000,0.0456
233,cgenff/SM25/SM25/FEP/octanol/VDW/0500,50000,0.0492
234,cgenff/SM25/SM25/FEP/octanol/VDW/0600,125000,0.0412
235,cgenff/SM25/SM25/FEP/octanol/VDW/0650,125000,0.015
236,cgenff/SM25/SM25/FEP/octanol/VDW/0700,75000,0.0231
237,cgenff/SM25/SM25/FEP/octanol/VDW/0750,200000,0.0372
238,cgenff/SM25/SM25/FEP/octanol/VDW/0800,500000,0.0251
239,cgenff/SM25/SM25/FEP/octanol/VDW/0850,150000,0.0431
240,cgenff/SM25/SM25/FEP/octanol/VDW/0900,125000,0.0428
241,cgenff/SM25/SM25/FEP/octanol/VDW/0950,100000,0.0432
242,cgenff/SM25/SM25/FEP/octanol/VDW/1000,15000,0.0291
243,cgenff/SM25/SM25/FEP/water/Coulomb/0000,125000,0.0072
244,cgenff/SM25/SM25/FEP/water/Coulomb/0250,100000,0.0298
245,cgenff/SM25/SM25/FEP/water/Coulomb/0500,10000,0.0349
246,cgenff/SM25/SM25/FEP/water/Coulomb/0750,10000,0.0392
247,cgenff/SM25/SM25/FEP/water/Coulomb/1000,5000,0.0226
248,cgenff/SM25/SM25/FEP/water/VDW/0000,5000,0.0298
249,cgenff/SM25/SM25/FEP/water/VDW/0050,25000,0.0442
250,cgenff/SM25/SM25/FEP/water/VDW/0100,5000,0.0168
251,cgenff/SM25/SM25/FEP/water/VDW/0200,5000,0.0124
252,cgenff/SM25/SM25/FEP/water/VDW/0300,5000,0.0128
253,cgenff/SM25/SM25/FEP/water/VDW/0400,5000,0.0436
254,cgenff/SM25/SM25/FEP/water/VDW/0500,10000,0.0317
255,cgenff/SM25/SM25/FEP/water/VDW/0600,50000,0.0423
256,cgenff/SM25/SM25/FEP/water/VDW/0650,15000,0.0482
257,cgenff/SM25/SM25/FEP/water/VDW/0700,125000,0.041
258,cgenff/SM25/SM25/FEP/water/VDW/0750,125000,0.0251
259,cgenff/SM25/SM25/FEP/water/VDW/0800,25000,0.0316
260,cgenff/SM25/SM25/FEP/water/VDW/0850,5000,0.031
261,cgenff/SM25/SM25/FEP/water/VDW/0900,5000,0.0442
262,cgenff/SM25/SM25/FEP/water/VDW/0950,5000,0.0218
263,cgenff/SM25/SM25/FEP/water/VDW/1000,5000,0.008
264,cgenff/SM26/SM26/FEP/octanol/Coulomb/0000,1000000,0.077
265,cgenff/SM26/SM26/FEP/octanol/Coulomb/0125,969916,0.0476
266,cgenff/SM26/SM26/FEP/octanol/Coulomb/0250,125000,0.04
267,cgenff/SM26/SM26/FEP/octanol/Coulomb/0375,869904,0.0312
268,cgenff/SM26/SM26/FEP/octanol/Coulomb/0500,400000,0.0273
269,cgenff/SM26/SM26/FEP/octanol/Coulomb/0750,75000,0.0367
270,cgenff/SM26/SM26/FEP/octanol/Coulomb/1000,50000,0.0469
271,cgenff/SM26/SM26/FEP/octanol/VDW/0000,50000,0.0386
272,cgenff/SM26/SM26/FEP/octanol/VDW/0050,15000,0.0447
273,cgenff/SM26/SM26/FEP/octanol/VDW/0100,50000,0.0309
274,cgenff/SM26/SM26/FEP/octanol/VDW/0200,50000,0.0134
275,cgenff/SM26/SM26/FEP/octanol/VDW/0300,5000,0.0478
276,cgenff/SM26/SM26/FEP/octanol/VDW/0400,20000,0.0459
277,cgenff/SM26/SM26/FEP/octanol/VDW/0500,25000,0.0214
278,cgenff/SM26/SM26/FEP/octanol/VDW/0600,20000,0.0376
279,cgenff/SM26/SM26/FEP/octanol/VDW/0650,10000,0.0294
280,cgenff/SM26/SM26/FEP/octanol/VDW/0700,125000,0.0203
281,cgenff/SM26/SM26/FEP/octanol/VDW/0750,544917,0.0335
282,cgenff/SM26/SM26/FEP/octanol/VDW/0800,175000,0.0282
283,cgenff/SM26/SM26/FEP/octanol/VDW/0850,616015,0.0208
284,cgenff/SM26/SM26/FEP/octanol/VDW/0900,125000,0.0439
285,cgenff/SM26/SM26/FEP/octanol/VDW/0950,20000,0.0468
286,cgenff/SM26/SM26/FEP/octanol/VDW/1000,15000,0.0489
287,cgenff/SM26/SM26/FEP/water/Coulomb/0000,10000,0.0064
288,cgenff/SM26/SM26/FEP/water/Coulomb/0250,5000,0.006
289,cgenff/SM26/SM26/FEP/water/Coulomb/0500,5000,0.0008
290,cgenff/SM26/SM26/FEP/water/Coulomb/0750,5000,0.0012
291,cgenff/SM26/SM26/FEP/water/Coulomb/1000,5000,0.0026
292,cgenff/SM26/SM26/FEP/water/VDW/0000,5000,0.0128
293,cgenff/SM26/SM26/FEP/water/VDW/0050,5000,0.0078
294,cgenff/SM26/SM26/FEP/water/VDW/0100,5000,0.0108
295,cgenff/SM26/SM26/FEP/water/VDW/0200,5000,0.0256
296,cgenff/SM26/SM26/FEP/water/VDW/0300,5000,0.007
297,cgenff/SM26/SM26/FEP/water/VDW/0400,5000,0.027
298,cgenff/SM26/SM26/FEP/water/VDW/0500,5000,0.0184
299,cgenff/SM26/SM26/FEP/water/VDW/0600,10000,0.0279
300,cgenff/SM26/SM26/FEP/water/VDW/0650,50000,0.0109
301,cgenff/SM26/SM26/FEP/water/VDW/0700,150000,0.0326
302,cgenff/SM26/SM26/FEP/water/VDW/0750,25000,0.026
303,cgenff/SM26/SM26/FEP/water/VDW/0800,75000,0.0432
304,cgenff/SM26/SM26/FEP/water/VDW/0850,5000,0.0348
305,cgenff/SM26/SM26/FEP/water/VDW/0900,5000,0.0362
306,cgenff/SM26/SM26/FEP/water/VDW/0950,5000,0.0154
307,cgenff/SM26/SM26/FEP/water/VDW/1000,5000,0.0088
308,cgenff/SM27/SM27/FEP/octanol/Coulomb/0000,1004745,0.2819
309,cgenff/SM27/SM27/FEP/octanol/Coulomb/0125,1047567,0.1004
310,cgenff/SM27/SM27/FEP/octanol/Coulomb/0250,1000000,0.2018
311,cgenff/SM27/SM27/FEP/octanol/Coulomb/0375,800000,0.0481
312,cgenff/SM27/SM27/FEP/octanol/Coulomb/0500,200000,0.0415
313,cgenff/SM27/SM27/FEP/octanol/Coulomb/0750,75000,0.0369
314,cgenff/SM27/SM27/FEP/octanol/Coulomb/1000,15000,0.0333
315,cgenff/SM27/SM27/FEP/octanol/VDW/0000,20000,0.0416
316,cgenff/SM27/SM27/FEP/octanol/VDW/0050,150000,0.0448
317,cgenff/SM27/SM27/FEP/octanol/VDW/0100,5000,0.0402
318,cgenff/SM27/SM27/FEP/octanol/VDW/0200,15000,0.0102
319,cgenff/SM27/SM27/FEP/octanol/VDW/0300,10000,0.0492
320,cgenff/SM27/SM27/FEP/octanol/VDW/0400,20000,0.0447
321,cgenff/SM27/SM27/FEP/octanol/VDW/0500,50000,0.0399
322,cgenff/SM27/SM27/FEP/octanol/VDW/0600,50000,0.0436
323,cgenff/SM27/SM27/FEP/octanol/VDW/0650,75000,0.044
324,cgenff/SM27/SM27/FEP/octanol/VDW/0700,150000,0.0164
325,cgenff/SM27/SM27/FEP/octanol/VDW/0750,500000,0.0468
326,cgenff/SM27/SM27/FEP/octanol/VDW/0800,583935,0.0435
327,cgenff/SM27/SM27/FEP/octanol/VDW/0850,500000,0.0416
328,cgenff/SM27/SM27/FEP/octanol/VDW/0900,847909,0.0484
329,cgenff/SM27/SM27/FEP/octanol/VDW/0950,25000,0.0224
330,cgenff/SM27/SM27/FEP/octanol/VDW/1000,5000,0.0342
331,cgenff/SM27/SM27/FEP/water/Coulomb/0000,1000000,0.0751
332,cgenff/SM27/SM27/FEP/water/Coulomb/0250,150000,0.0473
333,cgenff/SM27/SM27/FEP/water/Coulomb/0500,5000,0.0218
334,cgenff/SM27/SM27/FEP/water/Coulomb/0750,5000,0.0072
335,cgenff/SM27/SM27/FEP/water/Coulomb/1000,5000,0.0034
336,cgenff/SM27/SM27/FEP/water/VDW/0000,5000,0.0022
337,cgenff/SM27/SM27/FEP/water/VDW/0050,5000,0.0064
338,cgenff/SM27/SM27/FEP/water/VDW/0100,5000,0.0216
339,cgenff/SM27/SM27/FEP/water/VDW/0200,5000,0.0452
340,cgenff/SM27/SM27/FEP/water/VDW/0300,5000,0.0232
341,cgenff/SM27/SM27/FEP/water/VDW/0400,5000,0.0182
342,cgenff/SM27/SM27/FEP/water/VDW/0500,5000,0.0326
343,cgenff/SM27/SM27/FEP/water/VDW/0600,10000,0.0492
344,cgenff/SM27/SM27/FEP/water/VDW/0650,50000,0.0173
345,cgenff/SM27/SM27/FEP/water/VDW/0700,75000,0.0227
346,cgenff/SM27/SM27/FEP/water/VDW/0750,75000,0.0246
347,cgenff/SM27/SM27/FEP/water/VDW/0800,20000,0.044
